ID_ALIAS,ID_LOCALIZACION_COMPRA,ID_AJENO,STOCK_MINIMO,STOCK_MAXIMO,STOCK_RECUENTOS,STOCK_TEORICO,FECHA_HORA_EJECUCION_STOCK_RECUENTOS,FECHA_HORA_EJECUCION_STOCK_TEORICO,FECHA_ALTA,USUARIO_ALTA,FECHA_MODIFICACION,USUARIO_MODIFICACION,FECHA_BAJA,USUARIO_BAJA,FECHA_HORA_ACTUALIZACION_STOCK_TEORICO,CAPACIDAD_MAXIMA,ID_ALIAS_ANALYTICS,STOCK_RECUENTOS_VALIDADO_BULTOS,STOCK_MINIMO_BULTOS,CAPACIDAD_MAXIMA_VALIDADA_BULTOS,RN,año_mes,necesita_reposicion,cantidad_a_reponer,log_cantidad_a_reponer
210,16987,,,100,0.0,0,2025-06-02 17:24:47.367,2025-06-05 09:15:17.745,2025-01-14 16:19:10.229,RAM,2025-06-03 16:25:32.781,BATCH_RAM,,,2025-05-26 00:00:00.000,75.0,,,,NULL),(281,2025-06,1,60.0,4.110873864173311
121,19,,,100,600.0,1952,2025-05-29 20:25:36.726,2025-06-20 09:15:20.300,2023-12-11 12:08:03.803,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,2400.0,,11,,8),(121,2025-05,0,1320.0,7.186144304522325
121,45,,,100,1200.0,0,2024-11-12 18:28:22.932,2025-06-20 09:15:20.300,2023-12-11 12:08:03.803,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,1500.0,,4,,5),(121,2024-11,0,0.0,0.0
121,85,,,100,0.0,1224,2024-11-13 13:18:34.907,2025-06-20 09:15:20.300,2023-12-11 12:08:03.803,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,3600.0,,0,,12),(121,2024-11,1,2880.0,7.9658927350845286
121,65,,,100,1800.0,900,2025-06-03 10:58:42.612,2025-06-05 09:15:17.745,2023-12-11 12:08:03.803,RAM,2025-06-09 13:13:23.674,juanjdv,,,2025-06-09 13:13:23.674,3600.0,,12,,10),(120,2025-06,0,1080.0,6.985641817639208
121,187,,,100,1500.0,2781,2025-05-30 13:02:44.764,2025-06-20 09:15:20.300,2023-12-11 12:08:03.803,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,3600.0,,10,,15),(121,2025-05,0,1380.0,7.2305631534092925
121,197,,,100,2100.0,486,2024-11-14 14:01:35.741,2025-06-20 09:15:20.300,2023-12-11 12:08:03.803,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,3000.0,,7,,10),(121,2024-11,0,300.0,5.707110264748875
121,171,,,100,0.0,398,2025-06-03 15:24:25.641,2025-06-20 09:15:20.300,2023-12-11 12:08:03.803,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,7200.0,,12,,24),(121,2025-06,1,5760.0,8.658866349732383
121,267,,,100,3900.0,4081,2025-05-29 16:34:18.484,2025-06-20 09:15:20.300,2023-12-11 12:08:03.803,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,6000.0,,8,,20),(121,2025-05,0,900.0,6.803505257608338
121,258,,,100,5400.0,3833,2024-11-13 14:46:21.187,2025-06-20 09:15:20.300,2023-12-11 12:08:03.803,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,6000.0,,18,,20),(121,2024-11,0,0.0,0.0
121,120,,,100,900.0,0,2024-11-19 11:07:47.416,2025-06-20 09:15:20.300,2023-12-11 12:08:03.803,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,3000.0,,3,,10),(121,2024-11,0,1500.0,7.313886831633462
121,6460,,,100,4800.0,0,2025-05-30 11:26:32.550,2025-06-05 09:15:17.745,2023-12-11 12:08:03.803,RAM,2025-06-09 13:13:23.674,juanjdv,,,2025-06-09 13:13:23.674,3600.0,,17,,12),(121,2025-05,0,0.0,0.0
121,9275,,,100,3300.0,0,2025-06-02 14:49:08.923,2025-06-05 09:15:17.745,2023-12-11 12:08:03.803,RAM,2025-06-09 13:13:23.674,juanjdv,,,2025-06-09 13:13:23.674,5100.0,,9,,17),(121,2025-06,0,780.0,6.660575149839686
121,52,,,100,2400.0,319,2025-05-29 14:35:27.006,2025-06-20 09:15:20.300,2023-12-11 12:08:03.803,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,1500.0,,11,,5),(121,2025-05,0,0.0,0.0
121,12274,,,100,6900.0,16613,2025-05-30 11:19:41.823,2025-06-20 09:15:20.300,2023-12-11 12:08:03.803,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,7500.0,,20,,25),(121,2025-05,0,0.0,0.0
121,57,,,100,12000.0,6467,2025-05-29 15:28:18.769,2025-06-20 09:15:20.300,2023-12-11 12:08:03.803,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-02 00:00:00.000,12000.0,,21,,30),(121,2025-05,0,0.0,0.0
